"REQUESTID","RECORDTYPE"
"ESWBAPP_2020-09-09 23:54:34.577.35","retrieveProductBasic.input.row                                                                      "
"ESWBAPP_2020-09-09 23:54:34.577.35","retrieveProductBasic.output.row                                                                     "
"ESWBAPP_2020-09-09 23:54:34.577.35","retrieveProductData.input.row                                                                       "
"ESWBAPP_2020-09-09 23:54:34.577.35","retrieveProductRstate.output.row                                                                    "
"ESWBAPP_2020-09-09 23:55:40.593.92","output.head                                                                                         "
"ESWBAPP_2020-09-09 23:55:40.593.92","retrieveProductBasic.input.row                                                                      "
"ESWBAPP_2020-09-09 23:55:40.593.92","retrieveProductBasic.output.row                                                                     "
"ESWBAPP_2020-09-09 23:55:40.593.92","retrieveProductData.input.row                                                                       "
"ESWBAPP_2020-09-09 23:55:40.593.92","retrieveProductRstate.output.row                                                                    "
"ESWBAPP_2020-09-11 12:35:58.385.25","output.head                                                                                         "
"ESWBAPP_2020-09-11 12:35:58.385.25","output.row                                                                                          "
"ESWBAPP_2020-09-11 12:35:58.385.25","retrieveProductStructure.input.head                                                                 "
"RCSCI1_2020-09-09 11:54:23.751.40 ","output.head                                                                                         "
"RCSCI1_2020-09-09 11:54:23.751.40 ","output.row                                                                                          "
"RCSCI1_2020-09-09 11:54:23.751.40 ","retrieveInfoStruc.input.head                                                                        "
"RCSCI1_2020-09-09 11:57:57.224.13 ","output.head                                                                                         "
"RCSCI1_2020-09-09 11:57:57.224.13 ","retrieveInformationCode.output.row                                                                  "
"RCSCI1_2020-09-09 11:57:57.224.13 ","retrieveProductBasic.input.row                                                                      "
"RCSCI1_2020-09-09 11:57:57.224.13 ","retrieveProductBasic.output.row                                                                     "
"RCSCI1_2020-09-09 11:57:57.224.13 ","retrieveProductData.input.row                                                                       "
"RCSCI1_2020-09-09 11:57:57.224.13 ","retrieveProductRstate.output.row                                                                    "
"RCSCI1_2020-09-09 14:06:41.55.4   ","includeDocumentIn1095Column.input.row                                                               "
"RCSCI1_2020-09-09 14:06:41.55.4   ","output.head                                                                                         "
"RCSCI1_2020-09-09 14:06:41.55.4   ","output.row                                                                                          "
"RCSCI1_2020-09-09 15:28:42.057.21 ","includeDocumentIn1095Column.input.row                                                               "
"RCSCI1_2020-09-09 15:28:42.057.21 ","output.head                                                                                         "
"RCSCI1_2020-09-09 15:28:42.057.21 ","output.row                                                                                          "
"RCSCI1_2020-09-09 20:07:59.916.65 ","includeDocumentIn1095Column.input.row                                                               "
"RCSCI1_2020-09-09 20:07:59.916.65 ","output.head                                                                                         "
"RCSCI1_2020-09-09 20:07:59.916.65 ","output.row                                                                                          "
"RCSCI1_2020-09-09 20:50:36.174.37 ","includeDocumentIn1095Column.input.row                                                               "
"RCSCI1_2020-09-09 20:50:36.174.37 ","output.head                                                                                         "
"RCSCI1_2020-09-09 20:50:36.174.37 ","output.row                                                                                          "
"RCSCI1_2020-09-09 22:45:03.856.21 ","includeDocumentIn1095Column.input.row                                                               "
